"","title","primary_setting","secondary_setting","author_first","author_last","age","type","format","book_summary","group_1","group_2","own_voice","setting","continent","iso","iso2","region","author","Hardcover","Paperback","Audio","Out_of_Stock.Print","origin_1","origin_2","cultures"
"57","Front Desk","China","","Kelly","Yang","9+","Chapter Book","Available in Hardcover & Paperback","Mia Tang has a lot of secrets. Number 1: She lives in a motel, not a big house. Every day, while her immigrant parents clean the rooms, ten-year-old Mia manages the front desk of the Calivista Motel and tends to its guests. Number 2: Her parents hide immigrants. And if the mean motel owner, Mr. Yao, finds out they've been letting them stay in the empty rooms for free, the Tangs will be doomed. Number 3: She wants to be a writer. But how can she when her mom thinks she should stick to math because English is not her first language? It will take all of Mia's courage, kindness, and hard work to get through this year. Will she be able to hold on to her job, help the immigrants and guests, escape Mr. Yao, and go for her dreams?","Chinese","","Yes","China","Asia","CN",NA,"East Asia & Pacific","Kelly Yang","Yes","Yes",NA,NA,"Chinese","","Chinese"
"58","Thief Girl","Canada","","Ingrid","Lee","12+","Young Adult","Available in Hardcover & Paperback","Sixteen-year-old Avvy Go straddles the line between the immigrant neighborhood were she lives and works and the established neighborhood where she attends high school, the line between right and wrong, and the line between telling secrets and keeping them. Set in an urban Chinatown neighborhood, Thief Girl is a frank look at the challenges faced by one teen caught between two worlds.","Chinese American","","No","Canada","Americas","CA",NA,"North America","Ingrid Lee","Yes","Yes",NA,NA,"Chinese","","Chinese"
"59","Cilla Lee-Jenkins: Future Author Extraordinaire","China","","Susan","Tan","8+","Chapter Book","Available in Hardcover & Paperback","Priscilla """"Cilla"""" Lee-Jenkins is on a tight deadline. Her baby sister is about to be born, and Cilla needs to become a bestselling author before her family forgets all about her. So she writes about what she knows best herself! And Cilla has a lot to write about: How did she deal with being bald until the age of five? How did she overcome her struggles with reading? How do family traditions with Grandma and Granpa Jenkins differ from family traditions with her Chinese grandparents, Nai Nai and Ye Ye?","Chinese American","","No","China","Asia","CN",NA,"East Asia & Pacific","Susan Tan","Yes","Yes",NA,NA,"Chinese","","Chinese"
"60","Cilla Lee-Jenkins: The Epic Story","China","","Susan","Tan","8+","Chapter Book","Available in Hardcover","","Chinese American","","No","China","Asia","CN",NA,"East Asia & Pacific","Susan Tan","Yes",NA,NA,NA,"Chinese","","Chinese"
"61","Cilla Lee-Jenkins: This Book is a Classic","China","","Susan","Tan","8+","Chapter Book","Available in Hardcover & Paperback","Priscilla Cilla Lee-Jenkins has just finished her (future) bestselling memoir, and now she's ready to write a Classic. This one promises to have everything: Romance, Adventure, and plenty of Drama like Cilla's struggles to be more Chinese, be the perfect flower girl at Aunt Eva's wedding, and learn how to share her best friend. In Cilla Lee-Jenkins: This Book Is a Classic, author Susan Tan seamlessly weaves experiences as a Chinese American with universal stories about being a big sister, making friends, and overcoming fears. Cilla Lee-Jenkins will bulldoze her way into your heart in this winning middle grade novel about family, friendship, and finding your voice.","Chinese American","","No","China","Asia","CN",NA,"East Asia & Pacific","Susan Tan","Yes","Yes",NA,NA,"Chinese","","Chinese"
"62","Stargazing","China","","Jen","Wang","8+","Graphic Novel","Available in Hardcover & Paperback","Moon is everything Christine isn't. She?s confident, impulsive, artistic . . . and though they both grew up in the same Chinese-American suburb, Moon is somehow unlike anyone Christine has ever known. But after Moon moves in next door, these unlikely friends are soon best friends, sharing their favorite music videos and painting their toenails when Christine's strict parents aren't around. Moon even tells Christine her deepest secret: that she has visions, sometimes, of celestial beings who speak to her from the stars. Who reassure her that earth isn't where she really belongs. Moon's visions have an all-too-earthly root, however, and soon Christine's best friend is in the hospital, fighting for her life. Can Christine be the friend Moon needs, now, when the sky is falling? Jen Wang draws on her childhood to paint a deeply personal yet wholly relatable friendship story that?s at turns joyful, heart-wrenching, and full of hope.","Chinese American","","No","China","Asia","CN",NA,"East Asia & Pacific","Jen Wang","Yes","Yes",NA,NA,"Chinese","","Chinese"
"63","Frazzled: Ordinary Mishaps and Inevitable Catastrophes","China","","Booki","Vivat","9+","Chapter Book","Available in Hardcover","Things are looking up for Abbie Wu: this year she'll run for class president and get a brand-new shiny locker. Until she doesn't. In her second tumultuous misadventure, Abbie Wu tackles more unbelievably unfair and calamitous middle school days. From facing locker thieves and battling diabolical cats to having absolutely no idea what to build for her science project, Abbie Wu is still in perpetual crisis. From author and professional doodler Booki Vivat, this second story follows Abbie Wu, your favorite hilariously neurotic middle school girl, as she tries to come up with solutions to what seems to be a series of inevitable catastrophes. Akin to Smile by Raina Telgemeier, Frazzled: Ordinary Mishaps and Inevitable Catastrophes is heavily illustrated, embarrassingly honest, and sure to appeal to anyone hoping to figuring out how to survive the ordinary mishaps of middle school.","Chinese American","","Yes","China","Asia","CN",NA,"East Asia & Pacific","Booki Vivat","Yes",NA,NA,NA,"Chinese","","Chinese"
"64","My Friend Mei Jing","","","Anna","McQuinn","5+","Picture Book","Available in Hardcover & Paperback","Different cultures. Best friends. Ever since Mei Jing came to Monifa's school they've been best friends. They're both artistic and like to create wild designs together. They love to play at each other's houses; at Monifa's they make a tent out of her mother's African blanket, and at Mei Jing's they play with her new puppy and dream of having a veterinary clinic when they grow up. On one visit to Mei Jing's, Monifa notices that Mei Jing's grandma spends a lot of time there. She speaks Chinese and calls her granddaughter Mui Mui. Mei Jing's father shows Monifa how to use chopsticks, and Monifa tries food she's never eaten before. Luckily they don't serve chicken's feet! At Chinese New Year the girls learn the Dragon Dance, and when Mei Jing's parents give Monifa a red envelope, she's surprised to discover it has real money in it! Like My Friend Jamal, My Friend Mei Jing is a poignant story that demonstrates how friendship is the strongest bond among kids living in a diverse community.
","Chinese American","Nigerian-American","No","",NA,NA,NA,NA,"Anna McQuinn","Yes","Yes",NA,NA,"Chinese","Nigerian","Chinese , Nigerian"
"65","We Are Here to Stay: Voices of Undocumented Young Adults","United States","","Susan","Kuklin","15+","Young Adult","Available in Hardcover & Audio","Meet nine courageous young adults who have lived in the United States with a secret for much of their lives: they are not U.S. citizens. They came from Colombia, Mexico, Ghana, Independent Samoa, and Korea. They came seeking education, fleeing violence, and escaping poverty. All have heartbreaking and hopeful stories about leaving their homelands and starting a new life in America. And all are weary of living in the shadows. We Are Here to Stay is a very different book than it was intended to be when originally slated for a 2017 release, illustrated with Susan Kuklin's gorgeous full-color portraits. Since the last presidential election and the repeal of DACA, it is no longer safe for these young adults to be identified in photographs or by name. Their photographs have been replaced with empty frames, and their names are represented by first initials. We are honored to publish these enlightening, honest, and brave accounts that encourage open, thoughtful conversation about the complexities of immigration and the uncertain future of immigrants in America.","Colombian","Ghanaian","Yes","United States","Americas","US",NA,"North America","Susan Kuklin","Yes",NA,"Yes",NA,"Colombian","Ghanaian","Colombian , Ghanaian"
"66","My Family Divided: One Girl's Journey of Home, Loss, and Hope","Colombia","","Diane and Erica","Guerrero and Moroz","10+","Middle Grade","Available in Hardcover and Paperback","Before landing a spot on the megahit Netflix show Orange is the New Black; before wow-ing audiences as Lina on Jane the Virgin; and before her incredible activism and work on immigration reform, Diane Guerrero was a young girl living in Boston. One day, while Guerrero was at school, her undocumented immigrant parents were taken from their home, detained, and deported. Guerrero's life, which had been full of the support of a loving family, was turned upside down. Reflective of the experiences of millions of undocumented immigrant families in the United States, Guerrero's story is at once heartbreaking and hopeful.","Columbian American","Columbian","No","Colombia","Americas","CO",NA,"Latin America & Caribbean","Diane and Erica Guerrero and Moroz","Yes","Yes",NA,NA,"Colombian","Colombian","Colombian"
"67","In the Country We Love: My Family Divided","United States","","Diane","Guerrero","15+","Young Adult","Available in Hardcover, Paperback, Audio","Diane Guerrero, the television actress from the megahit Orange is the New Black and Jane the Virgin, was just fourteen years old on the day her parents were detained and deported while she was at school. Born in the U.S., Guerrero was able to remain in the country and continue her education, depending on the kindness of family friends who took her in and helped her build a life and a successful acting career for herself, without the support system of her family. In the Country We Love is a moving, heartbreaking story of one woman's extraordinary resilience in the face of the nightmarish struggles of undocumented residents in this country. There are over 11 million undocumented immigrants living in the US, many of whom have citizen children, whose lives here are just as precarious, and whose stories haven't been told. Written with bestselling author Michelle Burford, this memoir is a tale of personal triumph that also casts a much-needed light on the fears that haunt the daily existence of families likes the author's and on a system that fails them over and over.","Columbian American","","Yes","United States","Americas","US",NA,"North America","Diane Guerrero","Yes","Yes","Yes",NA,"Colombian","","Colombian"
"68","Child Soldier: When Boys and Girls Are Used in War","Democratic Republic of the Congo","Canada","Jessica Dee and Michel","Humphreys and Chikwanine","10+","Middle Grade","Available in Hardcover","Michel Chikwanine was five years old when he was abducted from his school-yard soccer game in the Democratic Republic of Congo and forced to become a soldier for a brutal rebel militia. Against the odds, Michel managed to escape and find his way back to his family, but he was never the same again. After immigrating to Canada, Michel was encouraged by a teacher to share what happened to him in order to raise awareness about child soldiers around the world, and this book is part of that effort. Told in the first person and presented in a graphic novel format, the gripping story of Michel's experience is moving and unsettling. But the humanity he exhibits in the telling, along with Claudia Davila's illustrations, which evoke rather than depict the violent elements of the story, makes the book accessible for this age group and, ultimately, reassuring and hopeful. The back matter contains further information, as well as suggestions for ways children can help. This is a perfect resource for engaging youngsters in social studies lessons on global awareness and social justice issues, and would easily spark classroom discussions about conflict, children's rights and even bullying. Michel's actions took enormous courage, but he makes clear that he was and still is an ordinary person, no different from his readers. He believes everyone can do something to make the world a better place, and so he shares what his father told him: """"If you ever think you are too small to make a difference, try sleeping in a room with a mosquito.""""","Congolese","","No","Democratic Republic of the Congo , Canada","Africa","CD","CA","Sub-Saharan Africa","Jessica Dee and Michel Humphreys and Chikwanine","Yes",NA,NA,NA,"Congolese","","Congolese"
"69","In Too Deep","Democratic Republic of the Congo","Tanzania","Tom","Avery","10+","Middle Grade","Out of Print","It's Father, my brother said. He's in trouble. We've got to get him. Prince and Emmanuel are stunned to hear that someone who says she's their mother is looking for them. Can it really be her, after four long years of separation? The boys are scared and suspicious. And then there's another shock they learn that their father is trapped in Tanzania, blackmailed by gangsters to pay off an impossible debt. The boys make a big decision somehow they must find the money to get to Africa, bring their father home and reunite their family. Even if it means going back to stealing...","Congolese","Congolese British","No","Democratic Republic of the Congo , Tanzania","Africa","CD","TZ","Sub-Saharan Africa","Tom Avery",NA,NA,NA,"Yes","Congolese","Congolese British","Congolese , Congolese British"
"70","Blue Gold","Democratic Republic of the Congo","China","Elizabeth","Stewart","12+","Middle Grade","Available in Hardcover & Paperback","Coltan, or """"blue gold,"""" is a rare mineral used in making cell phones and computers. Across continents, the lives of three teen girls are affected by the """"blue gold"""" trade. Sylvie's family had to flee the Democratic Republic of the Congo after her father was killed by a rogue militia gang in the conflict for control of coltan. The refugee camp where she now lives is deplorable, and Sylvie yearns for a way out -- to save not only herself, but her remaining family. Laiping labors in a Chinese factory, soldering components for cell phones. She had left her small village to make her fortune, but the factory conditions are crushing, and the constant pressure to send money home adds to her misery. Yet when Laiping tries to improve her situation, she sees what happens to those who dare question the electronics company's policies. Fiona is a North American girl who, in one thoughtless moment, takes a picture on her cell phone she comes to regret. In the aftermath, she learns not only about trust and being true to oneself, but the importance of fighting for what is right. All three teens are unexpectedly linked by these events.","Congolese","Chinese","No","Democratic Republic of the Congo , China","Africa","CD","CN","Sub-Saharan Africa","Elizabeth Stewart","Yes","Yes",NA,NA,"Congolese","Chinese","Congolese , Chinese"
"71","How Dare The Sun Rise","Democratic Republic of the Congo","Burundi","Sandra","Uwiringiyimana","15+","Non-fiction","Available in Hardcover, Paperback, Audio","This profoundly moving memoir is the remarkable and inspiring true story of Sandra Uwiringiyimana, a girl from the Democratic Republic of the Congo who tells the tale of how she survived a massacre, immigrated to America, and overcame her trauma through art and activism. Sandra was just ten years old when she found herself with a gun pointed at her head. She had watched as rebels gunned down her mother and six-year-old sister in a refugee camp. Remarkably, the rebel didn't pull the trigger, and Sandra escaped. Thus began a new life for her and her surviving family members. With no home and no money, they struggled to stay alive. Eventually, through a United Nations refugee program, they moved to America, only to face yet another ethnic disconnect. Sandra may have crossed an ocean, but there was now a much wider divide she had to overcome. And it started with middle school in New York. In this memoir, Sandra tells the story of her survival, of finding her place in a new country, of her hope for the future, and how she found a way to give voice to her people.","Congolese","Congolese American","Yes","Democratic Republic of the Congo , Burundi","Africa","CD","BI","Sub-Saharan Africa","Sandra Uwiringiyimana","Yes","Yes","Yes",NA,"Congolese","Congolese","Congolese"
"72","Gervelie's Journey","Republic of Congo","Ivory Coast","Anthony and Annemarie","Robinson and Young","8+","Picture Book","Publisher Out of Stock","When Nkoula Thesia Gervelie was born in 1995 in the Republic of Congo, her mother and father had a nice house in a suburb of Brazzaville. When fighting broke out two years later, her father's political connections put the family in grave danger and they were forced to flee. Gervelie's Journey follows the family from Congo to the Ivory Coast, and then to Ghana, across Europe, and finally to England. Told in Gervelie's own voice and using her own photographs, it depicts with grace and sensitivity their long journey, their life in a new country, and their new hopes for the future.","Congolese","","No","Republic of Congo , Ivory Coast","Africa","CG","CI","Sub-Saharan Africa","Anthony and Annemarie Robinson and Young",NA,NA,NA,"Yes","Congolese","","Congolese"
"73","A Refugee's Journey from The Democratic Republic of the Congo","Democratic Republic of the Congo","Canada","Ellen","Rodger","9+","Non-fiction","Available in Library Edition & Paperback","Eight-year-old Etienne and his family live in The Democratic Republic of the Congo (DRC). Kidnapped by a rebel army and forced to be a child soldier, Etienne finally escapes and is sent to a camp for freed child soldiers. He is reunited with his family who then flee the country, arriving as refugees in Canada. Interspersed with facts about the DRC and its people, this narrative tells a story common to many refugees fleeing the country. Readers will learn about the experiences of child soldiers and how they can help refugees in their communities and around the world who are struggling to find permanent homes.","Congolese","","No","Democratic Republic of the Congo , Canada","Africa","CD","CA","Sub-Saharan Africa","Ellen Rodger",NA,"Yes",NA,NA,"Congolese","","Congolese"
"74","One Good Thing About America","Democratic Republic of the Congo","","Ruth","Freeman","8+","Chapter Book","Available in Hardcover & Paperback","It's hard to start at a new school . . . especially if you're in a new country. Back home, Anais was the best English student in her class. Here in Crazy America she feels like she doesn't know English at all. Nothing makes sense (chicken FINGERS?), and the kids at school have some very strange ideas about Africa. Anais misses her family - Papa and grandmother Oma and big brother Olivier because here in Crazy America there's only little Jean-Claude and Mama. So she writes letters to Oma - lots of them. She tells her she misses her and hopes the fighting is over soon. She tells her about Halloween, snow, mac n cheese dinners, and princess sleepovers. She tells her about the weird things Crazy Americans do, and how she just might be turning into a Crazy American herself. One Good Thing About America is a sweet, often funny middle-grade novel that explores differences and common ground across cultures. It arrives amidst the prevailing climate of fear and doubt in America. This story of a refugee child restores hope and reminds us that America is, in fact, a nation of immigrants where we must accept our differences in order to survive and that s one very good thing.","Congolese American","Congolese","No","Democratic Republic of the Congo","Africa","CD",NA,"Sub-Saharan Africa","Ruth Freeman","Yes","Yes",NA,NA,"Congolese","Congolese","Congolese"
"75","Tortillas and Lullabies / Tortillas y cancioncitas","","","Lynn","Reiser","2+","Picture Book","Available in Hardcover & Paperback","In English and in Spanish, Lynn Reiser presents the Central American companion book to her Cherry Pies and Lullabies. Again, four generations of mothers and daughters participate in family traditions-this time within a Costa Rican culture in which they share such things as tortilla making and flower gathering. Extraordinary folk-art painting by Corazones Valientes, an organization of women artists in Costa Rica, accompany this universal and unforgettable story of family love.","Costa Rican","","No","",NA,NA,NA,NA,"Lynn Reiser","Yes","Yes",NA,NA,"Costa Rican","","Costa Rican"
"76","Enchanted Air","Cuba","United States","Margarita","Engle","12+","Middle Grade","Available in Hardcover & Paperback","In this poetic memoir, which won the Pura Belpr Author Award, was a YALSA Nonfiction Finalist, and was named a Walter Dean Myers Award Honoree, acclaimed author Margarita Engle tells of growing up as a child of two cultures during the Cold War. Margarita is a girl from two worlds. Her heart lies in Cuba, her mother's tropical island country, a place so lush with vibrant life that it seems like a fairy tale kingdom. But most of the time she lives in Los Angeles, lonely in the noisy city and dreaming of the summers when she can take a plane through the enchanted air to her beloved island. Words and images are her constant companions, friendly and comforting when the children at school are not. Then a revolution breaks out in Cuba. Margarita fears for her far-away family. When the hostility between Cuba and the United States erupts at the Bay of Pigs Invasion, Margarita's worlds collide in the worst way possible. How can the two countries she loves hate each other so much? And will she ever get to visit her beautiful island again?","Cuban","Cuban American","No","Cuba , United States","Americas","CU","US","Latin America & Caribbean","Margarita Engle","Yes","Yes",NA,NA,"Cuban","Cuban","Cuban"
"77","Good-bye Havana, Hola New York!","Cuba","United States","Edie","Coln","5+","Picture Book","Available in Hardcover","When five-year old Gabriella hears talk of Castro and something called revolution in her home in Cuba, she doesn't understand. Then when her parents leave suddenly and she remains with her grandparents, life isn't the same. Soon the day comes when she goes to live with her parents in a new place called the Bronx. It isn't warm like Havana, and there is traffic not the ocean outside her window. Their life is different-it snows in the winter and the food at school is hot dogs and macaroni. What will it take for the Bronx to feel like home?","Cuban","","No","Cuba , United States","Americas","CU","US","Latin America & Caribbean","Edie Coln","Yes",NA,NA,NA,"Cuban","","Cuban"
"78","Celia Cruz, Queen of Salsa","Cuba","United States","Veronica","Chambers","6+","Picture Book","Available in Paperback","Everyone knows the flamboyant, larger-than-life Celia, the extraordinary salsa singer who passed away in 2003, leaving millions of fans brokenhearted. Now accomplished children's book author Veronica Chambers gives young readers a lyrical glimpse into Celia's childhood and her inspiring rise to worldwide fame and recognition. First-time illustrator Julie Maren truly captures the movement and the vibrancy of the Latina legend and the sizzling sights and sounds of her legacy.","Cuban","","No","Cuba , United States","Americas","CU","US","Latin America & Caribbean","Veronica Chambers",NA,"Yes",NA,NA,"Cuban","","Cuban"
"79","Lucky Broken Girl","Cuba","","Ruth","Behar","9+","Chapter Book","Available in Hardcover, Paperback, Audio","In this unforgettable multicultural coming-of-age narrative based on the author's childhood in the 1960s a young Cuban-Jewish immigrant girl is adjusting to her new life in New York City when her American dream is suddenly derailed. Ruthie's plight will intrigue readers, and her powerful story of strength and resilience, full of color, light, and poignancy, will stay with them for a long time. Ruthie Mizrahi and her family recently emigrated from Castro's Cuba to New York City. Just when she's finally beginning to gain confidence in her mastery of English and enjoying her reign as her neighborhood's hopscotch queen a horrific car accident leaves her in a body cast and confined her to her bed for a long recovery. As Ruthie's world shrinks because of her inability to move, her powers of observation and her heart grow larger and she comes to understand how fragile life is, how vulnerable we all are as human beings, and how friends, neighbors, and the power of the arts can sweeten even the worst of times.","Cuban","Jewish","No","Cuba","Americas","CU",NA,"Latin America & Caribbean","Ruth Behar","Yes","Yes","Yes",NA,"Cuban","Jewish","Cuban , Jewish"
"80","The Red Umbrella","Cuba","United States","Christina","Diaz Gonzalez","9+","Chapter Book","Available in Paperback & Audio","In 1961, two years after the Communist revolution, Luca Alvarez still leads a carefree life, dreaming of parties and her first crush. But when the soldiers come to her sleepy Cuban town, everything begins to change. Freedoms are stripped away. Neighbors disappear. Her friends feel like strangers. And her family is being watched. As the revolution's impact becomes more oppressive, Luca's parents make the heart-wrenching decision to send her and her little brother to the United States on their own. Suddenly plunked down in Nebraska with well-meaning strangers, Luca struggles to adapt to a new country, a new language, a new way of life. But what of her old life? Will she ever see her home or her parents again? And if she does, will she still be the same girl?","Cuban American","","No","Cuba , United States","Americas","CU","US","Latin America & Caribbean","Christina Diaz Gonzalez",NA,"Yes","Yes",NA,"Cuban","","Cuban"
"81","W is for Welcome: A Celebration of America's Diversity","United States","","Brad","Herzog","6+","Picture Book","Available in Hardcover","Following the alphabet this book uses poetry and expository text to celebrate America's diverse population and showcase the remarkable achievements and contributions that have come from the many people who have chosen to make our country their home. Topics include well-known landmarks and institutions (the Statue of Liberty and the White House, our national parks system) and famous citizens whose talents helped make the United States a world leader (Albert Einstein and Madeleine Albright). In addition to celebrating America's history and development, key concepts such as naturalization and steps to citizenship are explained in easy-to-understand terms for the young reader.","Various","","No","United States","Americas","US",NA,"North America","Brad Herzog","Yes",NA,NA,NA,"Various","","Various"
"82","Islandborn","Unspecified","","Junot","Diaz","6+","Picture Book","Available in Hardcover","Every kid in Lola's school was from somewhere else. Hers was a school of faraway places. So when Lola's teacher asks the students to draw a picture of where their families immigrated from, all the kids are excited. Except Lola. She can't remember The Islandƒ??she left when she was just a baby. But with the help of her family and friends, and their memories joyous, fantastical, heartbreaking, and frightening Lola's imagination takes her on an extraordinary journey back to The Island. As she draws closer to the heart of her family's story, Lola comes to understand the truth of her abuela's words: Just because you don't remember a place doesn't mean it's not in you. Gloriously illustrated and lyrically written, Islandborn is a celebration of creativity, diversity, and our imagination's boundless ability to connect use to our families, to our past and to ourselves.","Dominican","Dominican American","No","Unspecified",NA,NA,NA,NA,"Junot Diaz","Yes",NA,NA,NA,"Dominican","Dominican","Dominican"
"83","Lola (Edici¢n En Espa¤ol De Islandborn)","Unspecified","","Junot","Diaz","6+","Picture Book","Available in Hardcover","Every kid in Lola's school was from somewhere else. Hers was a school of faraway places. So when Lola's teacher asks the students to draw a picture of where their families immigrated from, all the kids are excited. Except Lola. She can't remember The Islandƒ??she left when she was just a baby. But with the help of her family and friends, and their memories joyous, fantastical, heartbreaking, and frightening Lola's imagination takes her on an extraordinary journey back to The Island. As she draws closer to the heart of her family's story, Lola comes to understand the truth of her abuela's words: Just because you don't remember a place doesn't mean it's not in you. Gloriously illustrated and lyrically written, Islandborn is a celebration of creativity, diversity, and our imagination's boundless ability to connect use to our families, to our past and to ourselves.","Dominican","Dominican American","No","Unspecified",NA,NA,NA,NA,"Junot Diaz","Yes",NA,NA,NA,"Dominican","Dominican","Dominican"
"84","The Poet X","United States","","Elizabeth","Acevedo","12+","Young Adult","Available in Hardcover & Audio","Xiomara Batista feels unheard and unable to hide in her Harlem neighborhood. Ever since her body grew into curves, she has learned to let her fists and her fierceness do the talking. But Xiomara has plenty she wants to say, and she pours all her frustration and passion onto the pages of a leather notebook, reciting the words to herself like prayers especially after she catches feelings for a boy in her bio class named Aman, who her family can never know about. With Mami's determination to force her daughter to obey the laws of the church, Xiomara understands that her thoughts are best kept to herself. So when she is invited to join her school's slam poetry club, she doesn't know how she could ever attend without her mami finding out. But she still can't stop thinking about performing her poems. Because in the face of a world that may not want to hear her, Xiomara refuses to be silent.","Dominican American","Trinidadian American","Yes","United States","Americas","US",NA,"North America","Elizabeth Acevedo","Yes",NA,"Yes",NA,"Dominican","Trinidadian","Dominican , Trinidadian"
"85","Luis Paints the World","United States","","Terry","Farish","6+","Picture Book","Available in Hardcover","Nico is joining the Army to see the world. His younger brother, Luis, begins a mural on the alleyway wall to try to convince Nico to stay. But in Nico's absence, Luis's world expands along with the mural in their bustling Dominican neighborhood.","Dominican American","","No","United States","Americas","US",NA,"North America","Terry Farish","Yes",NA,NA,NA,"Dominican","","Dominican"
"86","My Feet Are Laughing","United States","","Lissette","Norman","6+","Picture Book","Publisher Out of Stock","Sadie likes living in her grandmother's brownstone, where she has her own bedroom and a backyard to play in. She's full of thoughts and has lots to say about her family and friends, her home, her hair, and her laughing feet that can't keep still. And when she grows up she plans on being a poet. This collection of sixteen exuberant poems in the voice of a young Dominican American girl and energetic, bright paintings celebrates Sadie's family and the city around her.","Dominican American","","No","United States","Americas","US",NA,"North America","Lissette Norman",NA,NA,NA,"Yes","Dominican","","Dominican"
"87","My Shoes and I / Mis Zapatos Y Yo: Crossing Three Borders / Cruzando Tres Fronteras","El Salvador","Guatemala","Rene","Colato Lainez","8+","Picture Book","Available in Hardcover","A timely and inspiring story. Mario is leaving his home in El Salvador. With his father by his side, he is going north to join his mother, who lives in the United States. She has sent Mario a new pair of shoes. He will need good shoes because the journey north will be long and hard. He and his father will cross the borders of three countries. They will walk for miles, ride buses, climb mountains, and cross a river. Mario has faith in his shoes. He believes they will take him anywhere. On this day, they will take him to the United States, where his family will be reunited.","El Salvadorian","","Yes","El Salvador , Guatemala","Americas","SV","GT","Latin America & Caribbean","Rene Colato Lainez","Yes",NA,NA,NA,"El Salvadorian","","El Salvadorian"
"88","Of Beetles and Angels: A Boy's Remarkable Journey from a Refugee Camp to Harvard","Ethiopia","Eritrea","Mawi","Asgedom","10+","Non-fiction","Available in Paperback","This acclaimed memoir tells the unforgettable story of a young boy's journey from a refugee camp in Sudan to Chicago, where his family survived on welfare. Mawi followed his father's advice to """"treat people . . . as though they were angels sent from heaven, """" and realized his dream of a full-tuition scholarship to Harvard University.","Ethiopian","Eritrean","Yes","Ethiopia , Eritrea","Africa","ET","ER","Sub-Saharan Africa","Mawi Asgedom",NA,"Yes",NA,NA,"Ethiopian","Eritrean","Ethiopian , Eritrean"
"89","Refugee Boy","Ethiopia","","Benjamin","Zephaniah","12+","Middle Grade","Publisher Out of Stock","Alem is on holiday with his father for a few days in London. He has never been out of Ethiopia before and is very excited. They have a great few days togther until one morning when Alem wakes up in the bed and breakfast they are staying at to find the unthinkable. His father has left him. It is only when the owner of the bed and breakfast hands him a letter that Alem is given an explanation. Alem's father admits that because of the political problems in Ethiopia both he and Alem's mother felt Alem would be safer in London - even though it is breaking their hearts to do this. Alem is now on his own, in the hands of the social services and the Refugee Council. He lives from letter to letter, waiting to hear from his father, and in particular about his mother, who has now gone missing...A powerful, gripping new novel from the popular Benjamin Zephaniah","Ethiopian","Eritrean","No","Ethiopia","Africa","ET",NA,"Sub-Saharan Africa","Benjamin Zephaniah",NA,NA,NA,"Yes","Ethiopian","Eritrean","Ethiopian , Eritrean"
"90","Faraway Home","United States","","Jane","Kurtz","7+","Picture Book","Out of Print","As her father prepares for a trip back to his childhood home in Ethiopia, Desta begins to worry. Where does her father truly belong--in the village of his youth or here in America with her? What was growing up in Ethiopia like? And will her father's love for his family be enough to bridge these two worlds and bring him back to her?","Ethiopian","Ethiopian-America","No","United States","Americas","US",NA,"North America","Jane Kurtz",NA,NA,NA,"Yes","Ethiopian","Ethiopian","Ethiopian"
"91","A Thirst for Home: A Story of Water across the World","Ethiopia","United States","Christine","Ieronimo","4+","Picture Book","Available in Hardcover","Tears, rain, puddles: water keeps Eva Alemitu connected to Emaye, the mother she left behind in Ethiopia, as Eva adjusts to her new life in the U.S. In this hauntingly bittersweet tale, inspired partly by the author's own life, Ieronimo imagines the heartbreak of a mother and daughter forced apart by hunger and poverty. The result is bleakly realistic, and readers will be drawn to Eva's conflicting feelings of longing for her biological mother, and security with her adoptive family in America. Velasquez's light-infused illustrations capture the quiet dignity of Emaye's grief and Eva's tentative acceptance, and perfectly complement the tender tone of the text. Perceptive readers will be too moved to be satisfied with the happy conclusion and will appreciate the story for its complexity rather than its plot.","Ethiopian","","No","Ethiopia , United States","Africa","ET","US","Sub-Saharan Africa","Christine Ieronimo","Yes",NA,NA,NA,"Ethiopian","","Ethiopian"
"92","The Storyteller's Beads","Ethiopia","Sudan","Jane","Kurtz","9+","Chapter Book","Out of Print","During the political strife and famine of the 1980's, two Ethiopian girls, one Christian and the other Jewish and blind, struggle to overcome many difficulties, including their prejudices about each other, as they make the dangerous journey out of Ethiopia.","Ethiopian","Jewish","No","Ethiopia , Sudan","Africa","ET","SD","Sub-Saharan Africa","Jane Kurtz",NA,NA,NA,"Yes","Ethiopian","Jewish","Ethiopian , Jewish"
"93","The Lotterys Plus One","Philippines","","Emma","Donoghue","9+","Chapter Book","Available in Hardcover, Paperback, Audio","Sumac Lottery is nine years old and the self-proclaimed """"good girl"""" of her (VERY) large, (EXTREMELY) unruly family. And what a family the Lotterys are: four parents, children both adopted and biological, and a menagerie of pets, all living and learning together in a sprawling house called Camelottery. Then one day, the news breaks that one of their grandfathers is suffering from dementia and will be coming to live with them. And not just any grandfather; the long dormant """"Grumps,"""" who fell out with his son so long ago that he hasn't been part of any of their lives. Suddenly, everything changes. Sumac has to give up her room to make the newcomer feel at home. She tries to be nice, but prickly Grumps's clearly disapproves of how the Lotterys live: whole grains, strange vegetables, rescue pets, a multicultural household... He's worse than just tough to get along with -- Grumps has got to go! But can Sumac help him find a home where he belongs?","Filipina German","Scottish","No","Philippines","Asia","PH",NA,"East Asia & Pacific","Emma Donoghue","Yes","Yes","Yes",NA,"Filipina German","Scottish","Filipina German , Scottish"
